quote_date,item_id,item_desc,validity,shop_code,price,indicator_box,orig_indicator_box,price_relative,log_price_relative,stratum_weight,stratum_type,start_date,end_date,region,shop_type,shop_weight,base_price,base_validity,stratum_cell,year,month
March 2018,211408,OLIVE OIL - 500ML - 1 LITRE,4,801,4.25,,,1.522,0.42,14.9,1,2018-03-01,999999,London,Multiple,2,2.792,4,2,2018,March
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,802,2.99,,,1,0,14.9,1,2018-02-01,999999,London,Multiple,1,2.99,3,2,2018,February
November 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,803,2.4,,,1.041,0.04,14.9,1,2018-11-01,999999,London,Multiple,2,2.305,4,2,2018,November
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,1,807,0,T,T,0,0,14.9,1,2018-02-01,999999,London,Multiple,8,6.75,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,808,3.6,,,1,0,14.9,1,2018-02-01,999999,London,Multiple,9,3.6,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,1,814,0,T,T,0,0,14.9,1,2018-02-01,999999,London,Multiple,1,5,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,941,5.33,,,1,0,14.9,1,2018-02-01,999999,London,Multiple,2,5.33,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,951,2.34,,,1.04,0.039,14.9,1,2018-02-01,999999,London,Multiple,1,2.25,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,952,2.35,,,1.044,0.043,14.9,1,2018-02-01,999999,London,Multiple,1,2.25,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,953,3.5,,,0.886,-0.121,14.9,1,2018-02-01,999999,London,Multiple,1,3.95,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,954,4.85,,,0.98,-0.02,14.9,1,2018-02-01,999999,London,Multiple,1,4.95,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,961,4.25,,,1.417,0.348,14.9,1,2018-02-01,999999,London,Multiple,1,3,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,4,962,4,S,,0.572,-0.558,14.9,1,2018-02-01,999999,London,Multiple,1,6.99,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,963,5.95,R,R,1,0,14.9,1,2018-02-01,999999,London,Multiple,1,5.95,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,964,7.1,,,1,0,14.9,1,2018-02-01,999999,London,Multiple,1,7.1,3,2,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,4,801,3.5,S,S,0.778,-0.251,13.91,1,2018-02-01,999999,South East England,Multiple,2,4.5,3,3,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,802,3,S,S,1,0,13.91,1,2018-02-01,999999,South East England,Multiple,1,3,3,3,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,803,3.9,,,1.3,0.262,13.91,1,2018-02-01,999999,South East England,Multiple,3,3,3,3,2018,February
February 2018,211408,OLIVE OIL - 500ML - 1 LITRE,3,807,3.5,,,0.886,-0.121,13.91,1,2018-02-01,999999,South East England,Multiple,4,3.95,3,3,2018,February
